id,name,description,model_dependency,assurance_goals,attributes,example_use_cases,limitations,resources,complexity_rating,computational_cost_rating,category_tags
75,Monotonicity Constraints,"Monotonicity constraints ensure that a model's predictions always increase (or decrease) as a specific feature increases, enforcing a consistent directional relationship. For instance, income can only positively affect loan approval chances. This technique makes models more intuitive and transparent, as users can understand how changing a particular input will affect the output, without unexpected reversals or non-linear behaviors.",Model-Specific,Transparency,,"[{""description"": ""Ensuring a credit scoring model always treats higher income as a positive factor (or at least never as a negative factor) for creditworthiness assessment."", ""goal"": ""Transparency""}]","[{""description"": ""May reduce model accuracy if true relationships are non-monotonic; requires domain knowledge to identify which features should be monotonic, and increases training complexity.""}]","[{""type"": ""Transparency"", ""title"": ""Monotonic Constraints"", ""url"": ""https://xgboost.readthedocs.io/en/latest/tutorials/monotonic.html""}]",3,2,#interpretable-design/constraint-based-models
76,Decision Trees and Rule Lists,"Decision trees and rule lists create models that make predictions through a series of interpretable if-then rules arranged in a flowchart-like structure. Each decision point is based on a clear condition about a feature, and the path to any prediction can be traced and explained in natural language. These inherently transparent models allow stakeholders to understand exactly how inputs lead to outputs.",Model-Specific,Transparency,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Building a loan approval system using a decision tree with clear rules based on income, credit history, and debt ratio that can be explained to applicants."", ""goal"": ""Transparency""}]","[{""description"": ""Often less accurate than complex models for difficult problems; deep trees can still be hard to interpret, and training can be unstable with small data changes.""}]","[{""type"": ""Transparency"", ""title"": ""Decision Trees"", ""url"": ""https://scikit-learn.org/stable/modules/tree.html""}]",2,1,#interpretable-design/inherently-interpretable-models
77,Linear/Logistic Models with Few Features,"Linear and logistic regression models with a small number of carefully selected features provide transparent predictions through simple, weighted combinations of inputs. Each coefficient represents a feature's impact, and the entire model can be expressed as a single equation. By prioritizing simplicity and selecting the most important features, these models balance interpretability with adequate performance for many applications.",Model-Specific,Transparency,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Using a simple logistic regression with 5-10 key features for a medical screening test, where clinicians need to understand and explain the factors behind each risk assessment."", ""goal"": ""Transparency""}]","[{""description"": ""May miss complex nonlinear relationships or interactions; predictive performance often lower than more complex models for difficult problems.""}]","[{""type"": ""Tutorial"", ""title"": ""Introduction to Linear Models"", ""url"": ""https://scikit-learn.org/stable/modules/linear_model.html""}]",1,1,#interpretable-design/inherently-interpretable-models
78,Generalized Additive Models (GAMs),"GAMs extend linear models by allowing flexible, nonlinear relationships between individual features and the target while maintaining the additive structure that keeps them interpretable. Each feature's effect is modeled separately as a smooth function, visualized as a curve showing how the feature influences predictions across its range. This approach balances the transparency of linear models with the ability to capture more complex patterns.",Model-Specific,Transparency,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Predicting hospital readmission risk with a GAM that shows how the risk varies nonlinearly with patient age while still keeping the model transparent enough for clinical use."", ""goal"": ""Transparency""}]","[{""description"": ""Cannot capture complex interactions between features unless explicitly modeled; setup requires deciding which features need nonlinear treatment, and fitting process is more complex than linear models.""}]","[{""type"": ""Paper"", ""title"": ""Intelligible Models for HealthCare: Predicting Pneumonia Risk and Hospital 30-day Readmission"", ""url"": ""https://dl.acm.org/doi/10.1145/2783258.2788613""}]",3,2,#interpretable-design/inherently-interpretable-models
79,Naive Bayes and Probabilistic Models,"Naive Bayes and related probabilistic models make predictions based on Bayes' theorem and conditional probabilities, with an assumption that features are conditionally independent. Their transparency comes from the straightforward probabilistic reasoning, where each feature's contribution to the prediction is clearly defined as a likelihood. By explicitly modeling the probability of outcomes given evidence, these models provide intuitive explanations for how inputs affect predictions.",Model-Specific,Transparency,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Using a Naive Bayes classifier for email spam detection that can explain its decisions by showing which words increased the probability of the spam classification."", ""goal"": ""Transparency""}]","[{""description"": ""Independence assumption often violated in real data, leading to miscalibrated probabilities; performance typically lower than more complex models for tasks with intricate patterns.""}]","[{""type"": ""Tutorial"", ""title"": ""Naive Bayes"", ""url"": ""https://scikit-learn.org/stable/modules/naive_bayes.html""}]",2,1,#interpretable-design/inherently-interpretable-models
80,"Variable Importance in Random Forests (MDA, MDG)",Calculates feature importance by measuring the Mean Decrease Accuracy or Mean Decrease Gini when a feature is excluded from Random Forest models.,Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Identifying key predictors in a Random Forest model for credit scoring."", ""goal"": ""Explainability""}]","[{""description"": ""Permutation importance (MDA) shares limitations with correlated features; Gini importance (MDG) biases towards continuous or high-cardinality features.""}]","[{""type"": ""Documentation"", ""title"": ""Feature Importance Measures in Random Forests (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/auto_examples/ensemble/plot_forest_importances.html""}]",2,2,#feature-analysis/importance-and-attribution
81,"Bayesian Networks",Probabilistic graphical models representing variables and their conditional dependencies for causal reasoning.,Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Modeling causal relationships in gene regulatory networks."", ""goal"": ""Explainability""}]","[{""description"": ""Learning the network structure from data is NP-hard for many variables; causal conclusions require correct model specification and may be invalid if important variables are omitted.""}]","[{""type"": ""Library"", ""title"": ""bnlearn Package (Bayesian Networks in R)"", ""url"": ""https://cran.r-project.org/web/packages/bnlearn/index.html""}]",4,4,#example-based-methods/causal-analysis
82,"Fairness Metrics (e.g., Equalized Odds, Demographic Parity)",Evaluates models for fairness by measuring disparities in predictions across different demographic groups.,Model-Agnostic,Explainability,"[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Ensuring a hiring model does not discriminate based on gender or ethnicity."", ""goal"": ""Explainability""}]","[{""description"": ""Each metric addresses a specific notion of fairness and may conflict with others; they require true outcome labels for evaluation and do not directly tell how to fix bias.""}]","[{""type"": ""Survey"", ""title"": ""Fairness Definitions Explained (Verma & Rubin, 2018)"", ""url"": ""https://arxiv.org/abs/1802.04896""}]",2,1,#fairness-explanations/bias-detection-and-mitigation
83,Model Pruning,"Simplifies neural networks by removing less important weights or neurons, reducing complexity while retaining performance.",Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Reducing model size for deployment on mobile devices without significant loss in accuracy."", ""goal"": ""Explainability""}]","[{""description"": ""Over-pruning can significantly reduce accuracy; finding the right pruning threshold is trial-and-error, and pruned models may still be complex to interpret if remaining structure is not simple.""}]","[{""type"": ""Paper"", ""title"": ""Learning to Prune Deep Neural Networks (Han et al., 2015)"", ""url"": ""https://arxiv.org/abs/1506.02626""}]",3,2,#model-simplification/model-pruning
84,Knowledge Distillation,"Trains a simpler 'student' model to replicate the behavior of a complex 'teacher' model, resulting in a more interpretable model.",Model-Agnostic,Explainability,"[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Simplifying a deep neural network for faster inference in real-time applications."", ""goal"": ""Explainability""}]","[{""description"": ""Student model performance depends on teacher quality and training technique; distilled model might still be a black box (though simpler) and requires additional training data or time.""}]","[{""type"": ""Paper"", ""title"": ""Distilling the Knowledge in a Neural Network (Hinton et al., 2015)"", ""url"": ""https://arxiv.org/abs/1503.02531""}]",3,4,#model-simplification/model-distillation
85,Attention Visualisation in Transformers,Visualizes attention weights in transformer-based models to show how the model focuses on different input parts during prediction.,Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Understanding which words a transformer model focuses on during machine translation tasks."", ""goal"": ""Explainability""}]","[{""description"": ""Similar to other attention interpretations: not always clear if high attention means importance; only applicable to transformer-based models and doesn't explain the model's reasoning beyond attention weights.""}]","[{""type"": ""Tool"", ""title"": ""BERTViz (Transformer Attention Visualizer)"", ""url"": ""https://github.com/jessevig/bertviz""}]",2,1,#visualization-techniques/model-behavior-visualization
86,Neuron Activation Analysis,Analyzes activation patterns of neurons in large language models (LLMs) to interpret their roles and the concepts they represent.,Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Global""}, {""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Identifying neurons responsible for syntax or semantics in language models."", ""goal"": ""Explainability""}]","[{""description"": ""Interpreting individual neurons requires analyzing large numbers of activations; insights are often qualitative, and important behavior may be distributed across many neurons rather than single ones.""}]","[{""type"": ""Paper"", ""title"": ""Interpretability in the Wild: Neural Network Foci (Bau et al., 2020)"", ""url"": ""https://arxiv.org/abs/2007.09710""}, {""type"": ""Blog"", ""title"": ""OpenAI: Circuits & Neurons Analysis"", ""url"": ""https://openai.com/blog/automated-interpretability/""}]",5,4,#feature-analysis/importance-and-attribution
87,Prompt Sensitivity Analysis,Studies how variations in input prompts affect LLM outputs to understand model behavior and sensitivity.,Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Evaluating how different phrasings influence an LLM's answers in question-answering tasks."", ""goal"": ""Explainability""}]","[{""description"": ""Only surfaces sensitivity to tested prompt variations; may not cover all aspects of model behavior, and systematic prompt generation can be time-consuming or incomplete.""}]","[{""type"": ""Paper"", ""title"": ""Prompt Sensitivity Index (Zhang et al., 2022)"", ""url"": ""https://aclanthology.org/2022.findings-emnlp.167.pdf""}]",3,3,#example-based-methods/prototype-and-criticism-methods
88,Causal Mediation Analysis in Language Models,Investigates causal relationships within LLMs by assessing how interventions on specific components affect outputs.,Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Global""}, {""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Understanding how adjusting embeddings changes model responses in language generation tasks."", ""goal"": ""Explainability""}]","[{""description"": ""Requires defining interventions on internal components, which needs expert knowledge of model architecture; results depend on correctness of causal assumptions and can be challenging to interpret conclusively.""}]","[{""type"": ""Paper"", ""title"": ""Investigating Gender Bias in LMs using Causal Mediation (Vig et al., 2020)"", ""url"": ""https://arxiv.org/abs/2004.12265""}]",5,4,#example-based-methods/causal-analysis
89,Feature Attribution with Integrated Gradients in NLP,"Applies Integrated Gradients to attribute importance of input tokens in LLMs for specific predictions, often producing visualizations.",Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Identifying words influencing text sentiment classification or topic modeling."", ""goal"": ""Explainability""}]","[{""description"": ""Long text inputs mean integrating over many steps which is slow; attributions can be diffuse across many tokens, and choosing a neutral baseline (e.g., empty or padding text) is non-trivial.""}]","[{""type"": ""Documentation"", ""title"": ""Captum Integrated Gradients (Text Example)"", ""url"": ""https://captum.ai/tutorials/IMDB_TorchText_Interpret""}]",4,3,#feature-analysis/importance-and-attribution
90,Concept Activation Vectors (CAVs),Represents human-understandable concepts as vectors in the model's latent space to analyze their influence on predictions.,Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Global""}, {""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Assessing how concepts like 'negativity' affect language model outputs."", ""goal"": ""Explainability""}]","[{""description"": ""Relies on having clearly defined concept examples; concept directions might not exist clearly in the model's internal space, and one must choose which layer to examine, affecting results.""}]","[{""type"": ""Paper"", ""title"": ""TCAV: Concept Activation Vectors (Kim et al., 2018)"", ""url"": ""https://arxiv.org/abs/1711.11279""}]",4,3,#feature-analysis/importance-and-attribution
91,In-Context Learning Analysis,"Examines how LLMs learn from examples provided in the input prompt, revealing capacity for few-shot learning.",Model-Specific,Explainability,"[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Analyzing the effect of examples on an LLM's ability to perform a new task like translation."", ""goal"": ""Explainability""}]","[{""description"": ""Observational analysis without guaranteed causal insight; any findings can be specific to the tested tasks or prompts, making general conclusions about model behavior difficult.""}]","[{""type"": ""Paper"", ""title"": ""Investigating Few-Shot Learning in GPT-3 (Zhao et al., 2021)"", ""url"": ""https://arxiv.org/abs/2108.13888""}]",4,2,#example-based-methods/prototype-and-criticism-methods
92,Reweighing,Assigns weights to instances in the training data to ensure different groups are equally represented in all labels.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Balancing gender representation in credit approval datasets before training a classifier."", ""goal"": ""Fairness""}]","[{""description"": ""Does not remove bias present in features; simply changing weights can lead to higher variance if some groups are underrepresented, and it assumes labels are unbiased which might not hold.""}]","[{""type"": ""Paper"", ""title"": ""Data Preprocessing Techniques for Classification Without Discrimination (Kamiran & Calders, 2012)"", ""url"": ""https://link.springer.com/article/10.1007/s10115-010-0352-x""}, {""type"": ""Library"", ""title"": ""AIF360 Reweighing Documentation"", ""url"": ""https://aif360.readthedocs.io/en/latest/modules/generated/aif360.algorithms.preprocessing.Reweighing.html""}]",2,1,#preprocessing-techniques/data-transformation
93,Disparate Impact Remover,"Edits feature values to reduce dependence between features and protected attributes, aiming to mitigate disparate impact.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Adjusting salary features to reduce gender bias in income prediction models."", ""goal"": ""Fairness""}]","[{""description"": ""Altering features could reduce model accuracy if important information is removed; addresses only measured attributes and might not eliminate bias through proxies.""}]","[{""type"": ""Paper"", ""title"": ""Certifying and Removing Disparate Impact (Feldman et al., 2015)"", ""url"": ""https://arxiv.org/abs/1412.3756""}, {""type"": ""Library"", ""title"": ""AIF360 DisparateImpactRemover Documentation"", ""url"": ""https://aif360.readthedocs.io/en/latest/modules/generated/aif360.algorithms.preprocessing.DisparateImpactRemover.html""}]",3,2,#preprocessing-techniques/data-transformation
94,Learning Fair Representations,Learns latent representations that encode data well but obfuscate information about protected attributes.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Creating unbiased data representations for hiring algorithms."", ""goal"": ""Fairness""}]","[{""description"": ""Requires training a complex model (encoder) with adversarial or constrained objectives; balancing reconstruction and fairness is tricky and may lead to loss of useful information.""}]","[{""type"": ""Paper"", ""title"": ""Learning Fair Representations (Zemel et al., 2013)"", ""url"": ""https://proceedings.mlr.press/v28/zemel13.html""}]",4,4,#inprocessing-techniques/fair-representation-learning
95,Fairness GAN,Employs Generative Adversarial Networks to generate fair representations of data that obfuscate protected attributes.,Model-Specific,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Creating unbiased datasets for training fair image recognition models."", ""goal"": ""Fairness""}]","[{""description"": ""GAN training is notoriously difficult to stabilize; ensuring fairness might come at the cost of utility, and it needs a large dataset to train the generator and discriminator effectively.""}]","[{""type"": ""Paper"", ""title"": ""FairGAN: Fairness-aware Generative Adversarial Networks (Xu et al., 2018)"", ""url"": ""https://arxiv.org/abs/1805.11202""}]",5,5,#inprocessing-techniques/fair-representation-learning
96,Optimised Pre-Processing,Modifies training data features and labels to induce fairness while preserving data utility.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Adjusting criminal justice data to reduce racial bias before training models."", ""goal"": ""Fairness""}]","[{""description"": ""May involve solving complex optimization problems; could distort data relationships in ways that degrade model performance if not carefully calibrated to preserve utility.""}]","[{""type"": ""Paper"", ""title"": ""Optimized Preprocessing for Discrimination Prevention (Calmon et al., 2017)"", ""url"": ""https://arxiv.org/abs/1704.03354""}]",4,4,#preprocessing-techniques/data-transformation
97,Relabelling,"Changes labels of certain instances in training data to reduce bias, often based on fairness constraints.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Modifying labels in loan default datasets to mitigate historical biases."", ""goal"": ""Fairness""}]","[{""description"": ""Altering labels risks introducing new biases or reducing prediction accuracy; deciding which instances to relabel can require a fairness criterion and ground truth fairness assessment.""}]","[{""type"": ""Paper"", ""title"": ""Classification with No Discrimination via Massaging (Kamiran et al., 2012)"", ""url"": ""https://ieeexplore.ieee.org/document/6233097""}]",3,2,#preprocessing-techniques/data-transformation
98,Preferential Sampling,Re-samples data with preference for certain groups to achieve fair representation in training datasets.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Oversampling minority groups in medical data to train unbiased models."", ""goal"": ""Fairness""}]","[{""description"": ""Over-sampling can cause overfitting to minority examples; under-sampling can drop important data from majority group, and it doesn't adjust the model if it inherently treats groups differently.""}]","[{""type"": ""Paper"", ""title"": ""Preferential Sampling for Fair Classification (Kamal et al., 2010)"", ""url"": ""https://link.springer.com/chapter/10.1007/978-3-642-15880-3_3""}]",2,2,#preprocessing-techniques/data-transformation
99,Fairness Through Unawareness,"Ensures the model does not use protected attributes in decisions; however, indirect bias may persist.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Removing gender as a feature in employee promotion predictions."", ""goal"": ""Fairness""}]","[{""description"": ""Ignoring protected attributes doesn't guarantee fairness; proxies for the protected attribute in other features can still lead to biased outcomes.""}]","[{""type"": ""Principle"", ""title"": ""Fairness Through Unawareness Principle (Dwork et al., 2012)"", ""url"": ""https://arxiv.org/abs/1104.3913""}]",1,1,#preprocessing-techniques/data-transformation
100,Adversarial Debiasing for Text,Applies adversarial debiasing techniques specifically to textual data to mitigate biases in language models.,Model-Specific,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Reducing gender bias in sentiment analysis models by adversarial training on text data."", ""goal"": ""Fairness""}]","[{""description"": ""Text data can carry subtle biases in language; adversarial removal of bias might strip out important linguistic context, and the technique inherits all challenges of adversarial training.""}]","[{""type"": ""Paper"", ""title"": ""Gender Bias in Text: Debiasing Word Embeddings with Adversaries (Zhao et al., 2018)"", ""url"": ""https://arxiv.org/abs/1807.11714""}]",4,4,#inprocessing-techniques/adversarial-debiasing
101,Fair Adversarial Networks,Extends adversarial debiasing by incorporating fairness into deep learning via adversarial training.,Model-Specific,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Reducing bias in facial recognition systems with adversarial networks."", ""goal"": ""Fairness""}]","[{""description"": ""Extending adversarial debiasing to deep networks can be very complex to implement; requires careful tuning of loss trade-offs, and interpretations of fairness improvement can be opaque.""}]","[{""type"": ""Paper"", ""title"": ""Fairness in Deep Learning via Adversarial Networks"", ""url"": ""https://arxiv.org/abs/1707.00075""}]",5,4,#inprocessing-techniques/adversarial-debiasing
102,Prejudice Remover Regulariser,Incorporates a fairness penalty into the learning objective to penalize models that encode biases with respect to protected attributes.,Model-Specific,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Training logistic regression models with fairness constraints for university admissions."", ""goal"": ""Fairness""}]","[{""description"": ""Requires setting a hyperparameter for fairness penalty; too high can severely hurt accuracy, too low has little effect. Only applicable to models that can incorporate such a regularizer (e.g., logistic regression).""}]","[{""type"": ""Paper"", ""title"": ""Fairness-Aware Classifier with Prejudice Remover Regularizer (Kamishima et al., 2012)"", ""url"": ""https://arxiv.org/abs/1205.2999""}]",3,2,#inprocessing-techniques/fairnessconstrained-optimisation
103,Meta Fair Classifier,Modifies any classifier to optimize for fairness metrics using a meta-learning algorithm.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Applying fairness optimization to models in employee evaluation systems."", ""goal"": ""Fairness""}]","[{""description"": ""Meta-learning approach can be complex to implement and require extensive hyperparameter tuning; may result in longer training times and complexity that makes the method less accessible.""}]","[{""type"": ""Paper"", ""title"": ""Mitigating Bias in Classification via Meta-Algorithm (Celis et al., 2019)"", ""url"": ""https://arxiv.org/abs/1905.03850""}]",5,4,#inprocessing-techniques/fairnessconstrained-optimisation
104,Exponentiated Gradient Reduction,"Formulates fairness as a constrained optimization problem, using exponentiated gradient methods to find optimal classifiers.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Training fair classifiers for employment screening processes."", ""goal"": ""Fairness""}]","[{""description"": ""Involves iterative retraining of a classifier with adjusted weights; might require a convex base learner for theoretical guarantees, and can be sensitive to convergence criteria.""}]","[{""type"": ""Paper"", ""title"": ""A Reductions Approach to Fair Classification (Agarwal et al., 2018)"", ""url"": ""https://arxiv.org/abs/1803.02453""}]",4,3,#inprocessing-techniques/fairnessconstrained-optimisation
105,Fair Transfer Learning,Adapts models trained on one domain to another while preserving fairness constraints across domains.,Model-Specific,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Transferring fairness-aware models from one region's data to another in healthcare analytics."", ""goal"": ""Fairness""}]","[{""description"": ""Fairness achieved in one domain might not directly translate to another if data distributions differ; approach can be complicated to design and may need careful tuning to preserve fairness across domains.""}]","[{""type"": ""Paper"", ""title"": ""Fair Transfer Learning with Missing Demographics (Madras et al., 2018)"", ""url"": ""https://arxiv.org/abs/1809.10050""}]",5,4,#inprocessing-techniques/fair-representation-learning
106,Adaptive Sensitive Reweighting,Dynamically adjusts weights during training based on model performance across different groups.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Balancing performance in speech recognition across accents and dialects."", ""goal"": ""Fairness""}]","[{""description"": ""Requires monitoring model performance across groups in training, which can introduce instability; if not tuned properly, could oscillate or focus too much on one group at a time.""}]","[{""type"": ""Paper"", ""title"": ""Adaptive Reweighting for Fair Classification (Biswas et al., 2020)"", ""url"": ""https://arxiv.org/abs/2010.00078""}]",4,3,#inprocessing-techniques/fairnessconstrained-optimisation
107,Multi-Accuracy Boosting,Improves accuracy uniformly across groups by correcting errors where the model performs poorly for certain groups.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Enhancing model performance for underrepresented groups in disease prediction."", ""goal"": ""Fairness""}]","[{""description"": ""Targets error patterns in subgroups which requires identifying those groups or error regions; could increase complexity of the model and may overfit if very granular corrections are made.""}]","[{""type"": ""Paper"", ""title"": ""Multiaccuracy: Black-Box Post-Processing for Fairness in Classification (Hebert-Johnson et al., 2018)"", ""url"": ""https://papers.nips.cc/paper/2018/hash/9a49a25d845a3cdfd8b3d0cce985d545-Abstract.html""}]",5,4,#inprocessing-techniques/fairnessconstrained-optimisation
108,Equalised Odds Post-Processing,Adjusts output probabilities to equalise true positive and false positive rates across groups.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Ensuring fairness in recidivism risk assessments used in judicial decisions."", ""goal"": ""Fairness""}]","[{""description"": ""Adjusting outputs can reduce model confidence or require randomization in decisions; may sacrifice individual consistency (similar cases get different outcomes to satisfy group rates).""}]","[{""type"": ""Paper"", ""title"": ""Equality of Opportunity in Supervised Learning (Hardt et al., 2016)"", ""url"": ""https://arxiv.org/abs/1610.02413""}]",3,2,#postprocessing-techniques/outcome-adjustment
109,Threshold Optimiser,Adjusts decision thresholds for different groups to satisfy fairness constraints post-training.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Ensuring equal acceptance rates in college admissions across demographics."", ""goal"": ""Fairness""}]","[{""description"": ""Requires a held-out set to determine thresholds per group; if distributions shift, thresholds may need recalibration. Also, using different thresholds per group can raise legal or ethical concerns in deployment.""}]","[{""type"": ""Library"", ""title"": ""Fairlearn ThresholdOptimizer Documentation"", ""url"": ""https://fairlearn.org/v0.7.0/api_reference/fairlearn.postprocessing.html#fairlearn.postprocessing.ThresholdOptimizer""}]",3,1,#postprocessing-techniques/outcome-adjustment
110,Reject Option Classification,"Changes decisions where the model is least certain, favoring the disadvantaged group within this uncertain region.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Mitigating bias in hiring decisions by adjusting uncertain predictions."", ""goal"": ""Fairness""}]","[{""description"": ""Only applicable when model uncertainty can be estimated; choosing the 'reject' region and how to reassign decisions can be subjective and might reject too many instances if tuned conservatively.""}]","[{""type"": ""Paper"", ""title"": ""Reject Option Classification for Fairness (Kamiran et al., 2012)"", ""url"": ""https://ieeexplore.ieee.org/document/6233097""}]",3,2,#postprocessing-techniques/outcome-adjustment
111,Calibration with Equality of Opportunity,Adjusts probabilities to achieve equal true positive rates across groups while maintaining calibration within each group.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Balancing opportunity in credit scoring across different ethnic groups."", ""goal"": ""Fairness""}]","[{""description"": ""Achieving calibration within each group while equalizing true positive rates can be at odds with overall calibration; it may involve solving for probabilities in a way that lowers overall model calibration or accuracy.""}]","[{""type"": ""Paper"", ""title"": ""Equalized Odds and Calibration (Pleiss et al., 2017)"", ""url"": ""https://arxiv.org/abs/1707.00010""}]",4,3,#postprocessing-techniques/calibration-methods
112,Statistical Parity Difference,Measures the difference in positive outcome rates between protected and unprotected groups.,Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Evaluating fairness in hiring models by comparing selection rates across genders."", ""goal"": ""Fairness""}]","[{""description"": ""Ignores true labels or qualification differences; can be satisfied by trivial strategies (like random decisions) and does not ensure individual fairness.""}]","[{""type"": ""Explanation"", ""title"": ""Fairness Definitions Explained (Verma & Rubin, 2018)"", ""url"": ""https://arxiv.org/abs/1802.04896""}]",1,1,#fairness-metrics-and-evaluation/group-fairness-metrics
113,Disparate Impact,"Assesses whether decisions disproportionately affect members of a protected group, typically requiring a ratio between rates.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Checking for bias in loan approvals where minority groups are less likely to be approved."", ""goal"": ""Fairness""}]","[{""description"": ""Typically uses the 80% rule which is an arbitrary threshold; focuses only on selection rates and not on accuracy or errors, so a model could satisfy disparate impact yet still be unfair in errors.""}]","[{""type"": ""Law/Policy"", ""title"": ""Uniform Guidelines on Employee Selection (80% rule)"", ""url"": ""https://www.gpo.gov/fdsys/pkg/CFR-2016-title29-vol4/xml/CFR-2016-title29-vol4-part1607.xml""}]",1,1,#fairness-metrics-and-evaluation/group-fairness-metrics
114,Demographic Parity,"Evaluates if the outcome is independent of the protected attributes, aiming for equal outcome rates across groups.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Ensuring job advertisements are shown equally across genders."", ""goal"": ""Fairness""}]","[{""description"": ""If groups truly differ in label distribution, enforcing parity can harm utility; like statistical parity, it can be achieved in ways that ignore actual qualification (e.g., giving positive decisions randomly to meet rates).""}]","[{""type"": ""Article"", ""title"": ""Understanding Demographic Parity in ML"", ""url"": ""https://fairmlbook.org/pdf/demographic_parity.pdf""}]",2,1,#fairness-metrics-and-evaluation/group-fairness-metrics
115,Equal Opportunity Difference,"Computes the difference in true positive rates between groups, assessing fairness in terms of equal opportunity.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Assessing fairness in medical diagnosis models across age groups."", ""goal"": ""Fairness""}]","[{""description"": ""Addresses only true positive rates, ignoring false positive disparities; requires accurate ground truth labels for the positive class, and improving TPR for one group might increase FPR for that group.""}]","[{""type"": ""Paper"", ""title"": ""Equality of Opportunity (Hardt et al., 2016)"", ""url"": ""https://arxiv.org/abs/1610.02413""}]",2,1,#fairness-metrics-and-evaluation/group-fairness-metrics
